presentationDate,presentationSessionsN,presentationLanguage,presentationKind,playName,playGenre,playNationality,companyName,companyNationality,presentationTheater
"1914-01-03 00:00:00",1,Espanhol,COMPLETE,"Banda de trombetas, A",Zarzuela,Espanhola,"Mercedes Tressols",Espanhola,Politeama
"1914-01-03 00:00:00",1,Espanhol,COMPLETE,Bohemios,Zarzuela,Espanhola,"Mercedes Tressols",Espanhola,Politeama
"1914-01-03 00:00:00",1,Espanhol,COMPLETE,"El novio de DoÃ±a Inés","Teatro declamado",NULL,"Mercedes Tressols",Espanhola,Politeama
"1915-01-01 00:00:00",1,Português,STAGE_SCREEN,"Chateau Margaux",Zarzuela,Espanhola,"JoÃ£o Rodrigues","Brasileira ","SÃ£o Paulo"
"1915-01-01 00:00:00",2,Português,SESSIONS,"Tambor-mÃ³r, O",Opereta,NULL,"Teatro S. José do Rio","Brasileira ",Apolo
"1915-01-02 00:00:00",1,Português,STAGE_SCREEN,"Duas gatas, As","Teatro declamado",Portuguesa,"JoÃ£o Rodrigues","Brasileira ","SÃ£o Paulo"
"1915-01-02 00:00:00",2,Português,SESSIONS,"Choro na zona",Revista,"Brasileira ","Teatro S. José do Rio","Brasileira ",Apolo
"1915-01-03 00:00:00",1,Português,SESSIONS,"Menina Bertha, A",Burleta,"Brasileira ","Teatro S. José do Rio","Brasileira ",Apolo
"1915-01-03 00:00:00",2,Português,SESSIONS,Chuá,Revista,"Brasileira ","Teatro S. José do Rio","Brasileira ",Apolo
"1915-01-03 00:00:00",1,Português,STAGE_SCREEN,"Na ponta da faca",Revista,"Brasileira ","JoÃ£o Rodrigues","Brasileira ","SÃ£o Paulo"
"1915-01-03 00:00:00",1,Português,STAGE_SCREEN,"Capital Federal, A",Burleta,"Brasileira ","JoÃ£o Rodrigues","Brasileira ","SÃ£o Paulo"
"1915-01-04 00:00:00",2,Português,SESSIONS,"Em pé de guerra","Vaudeville musicado",NULL,"Teatro S. José do Rio","Brasileira ",Apolo
"1915-01-04 00:00:00",1,Português,STAGE_SCREEN,"Festa em Guabiroba, Uma",Burleta,"Brasileira ","JoÃ£o Rodrigues","Brasileira ","SÃ£o Paulo"
"1916-01-01 00:00:00",1,Português,COMPLETE,"O 31",Revista,Portuguesa,Galhardo-Palmyra,Portuguesa,Apolo
"1916-01-02 00:00:00",2,Português,COMPLETE,"O 31",Revista,Portuguesa,Galhardo-Palmyra,Portuguesa,Apolo
"1916-01-03 00:00:00",1,Português,COMPLETE,"Esposo feliz",Opereta,Austríca,Galhardo-Palmyra,Portuguesa,Apolo
"1916-01-04 00:00:00",1,Português,COMPLETE,"O 31",Revista,Portuguesa,Galhardo-Palmyra,Portuguesa,Apolo
"1916-01-05 00:00:00",1,Português,COMPLETE,"Homem das mangas, O",Opereta,AlemÃ£,Galhardo-Palmyra,Portuguesa,Apolo
"1916-01-06 00:00:00",1,Português,COMPLETE,"Maridos alegres",Opereta,Austríca,Galhardo-Palmyra,Portuguesa,Apolo
"1916-01-06 00:00:00",1,Português,COMPLETE,"Sonho de Valsa",Opereta,Austríca,Galhardo-Palmyra,Portuguesa,Apolo
"1916-01-07 00:00:00",1,Português,COMPLETE,Susi,Opereta,HÃºngara,Galhardo-Palmyra,Portuguesa,Apolo
"1916-01-08 00:00:00",1,Português,COMPLETE,"Esposo feliz",Opereta,Austríca,Galhardo-Palmyra,Portuguesa,Apolo
"1916-01-09 00:00:00",1,Português,COMPLETE,"Princesa dos dollars, A",Opereta,Austríca,Galhardo-Palmyra,Portuguesa,Apolo
"1917-01-01 00:00:00",3,Português,SESSIONS,"O 31",Revista,Portuguesa,"Carlos Leal",Portuguesa,Palace
"1917-01-01 00:00:00",1,Italiano,COMPLETE,"Due celebri imbroglioni","Teatro declamado",Italiana,"CittÃ  di Napoli",Ãtalo-sul-americana,"SÃ£o José"
"1917-01-01 00:00:00",2,Português,SESSIONS,"Flores de sombra","Teatro declamado","Brasileira ","Leopoldo FrÃ³es","Brasileira ","Boa Vista"
"1917-01-01 00:00:00",1,Italiano,COMPLETE,"Casta Suzanna, A",Opereta,AlemÃ£,Vitale,Italiana,"Cassino Antártica"
"1917-01-01 00:00:00",1,Italiano,COMPLETE,"Sangue de artista",Opereta,Austríca,Vitale,Italiana,"Cassino Antártica"
"1917-01-02 00:00:00",1,Italiano,COMPLETE,"Addio giovinezza",Opereta,Italiana,Vitale,Italiana,"Cassino Antártica"
"1917-01-02 00:00:00",2,Português,SESSIONS,"Flores de sombra","Teatro declamado","Brasileira ","Leopoldo FrÃ³es","Brasileira ","Boa Vista"
"1917-01-02 00:00:00",1,Italiano,COMPLETE,"Santa Lucia","Teatro declamado",NULL,"CittÃ  di Napoli",Ãtalo-sul-americana,"SÃ£o José"
"1917-01-02 00:00:00",2,Português,SESSIONS,"O 31",Revista,Portuguesa,"Carlos Leal",Portuguesa,Palace
"1917-01-03 00:00:00",1,Português,COMPLETE,"Boa rapariga, A","Teatro declamado",Italiana,"Alexandre Azevedo","Brasileira ","SÃ£o José"
"1918-01-01 00:00:00",1,Português,SESSIONS,"Festa em Guabiroba, Uma",Burleta,"Brasileira ",Arruda,"Brasileira ","Boa Vista"
"1918-01-01 00:00:00",1,Português,STAGE_SCREEN,"Filha do mar, A","Teatro declamado",Francesa,"Alzira LeÃ£o","Brasileira ",Colombo
"1918-01-01 00:00:00",1,Português,STAGE_SCREEN,"BarÃ£o de Cutia","Teatro declamado","Brasileira ",Carrara,"Brasileira ",Mafalda
"1918-01-01 00:00:00",1,Português,SESSIONS,"Contrabando, O",Burleta,"Brasileira ",Arruda,"Brasileira ","Boa Vista"
"1918-01-01 00:00:00",1,Português,COMPLETE,"Pauzinho, O",Revista,"Brasileira ","Edu Carvalho","Brasileira ",Palace
"1918-01-01 00:00:00",1,Português,SESSIONS,"Sem tirar nem pÃ´r",Revista,"Brasileira ",Arruda,"Brasileira ","Boa Vista"
"1918-01-01 00:00:00",1,Italiano,COMPLETE,BohÃ¨me,Ãpera,Italiana,"La Giovanissima",Italiana,"SÃ£o José"
"1918-01-01 00:00:00",1,Português,COMPLETE,"NhÃ´ Quim na Capital",Burleta,NULL,"Edu Carvalho","Brasileira ",Palace
"1918-01-01 00:00:00",1,Italiano,COMPLETE,"Casta Suzanna, A",Opereta,AlemÃ£,"La Giovanissima",Italiana,"SÃ£o José"
"1918-01-02 00:00:00",1,Português,STAGE_SCREEN,"Filha do mar, A","Teatro declamado",Francesa,"Alzira LeÃ£o","Brasileira ",Colombo
"1919-01-01 00:00:00",2,Português,SESSIONS,Blanchette,"Teatro declamado",Francesa,"Adelina Abranches-Chaby Pinheiro",Portuguesa,"SÃ£o José"
"1919-01-01 00:00:00",3,Português,SESSIONS,"S. Paulo em fraldas",Revista,"Brasileira ",Arruda,"Brasileira ","Boa Vista"
"1919-01-01 00:00:00",1,Português,STAGE_SCREEN,"Alma caipira",Sertaneja,"Brasileira ","JoÃ£o Rodrigues","Brasileira ",Brasil
"1919-01-02 00:00:00",1,Português,COMPLETE,"Garota, A","Teatro declamado",Francesa,"Adelina Abranches-Chaby Pinheiro",Portuguesa,"SÃ£o José"
"1919-01-02 00:00:00",1,Português,SESSIONS,"Festa na Freguesia do Ã, Uma",Burleta,"Brasileira ",Arruda,"Brasileira ","Boa Vista"
